,Dish,Meta,URL,Pic,Ingredients,Quantities,times
242,PESTO POTATO BRUNCH PAN,BRUNCH MOB,http://www.mobkitchen.co.uk/recipes/pesto-potato-brunch-pan,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5ae6f2b6758d46d77f2a9714/1567423426550/Image+2.jpg,"1 Sweet Potato - £0.35
12 New Potatoes - £0.99
8 Eggs - £2.25
1 Jar of Sacla’ Classic Basil Pesto - £2.50
1 Bunch of Parsley - £0.70
1 Brown Onion - £0.16
1 Lemon - £0.35
Total Cost – £7.30 - This covers absolutely everything. All we assume you have in your kitchen beforehand is SALT, PEPPER AND OLIVE OIL.",Feeds: 4 People,Cooking Time (includes preparation time): 30 Minutes
243,HALLOUMI & ORANGE SESH SALAD,DINNER PARTY MOB,http://www.mobkitchen.co.uk/recipes/halloumi-orange-sesh-salad,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5ae348c588251bba5f5da012/1567423464872/Z49A9608-2.jpg,"200g of Fennel - £1.30
Flaked Almonds - £1.30
Walnuts - £1.30
Balsamic Glaze - £1.50
3 Oranges - £0.90
Halloumi - £2.00
1 Bunch of Mint - £0.75
2 Bag of Mixed Leaves - £0.80
Total Cost – £9.85 - This covers absolutely everything. All we assume you have in your kitchen beforehand is SALT, PEPPER AND OLIVE OIL.",Feeds: 4 People,Cooking Time (includes preparation time): 45 Minutes
244,MOB'S SWEET AND SOUR CHICKEN,FAKEAWAY MOB,http://www.mobkitchen.co.uk/recipes/mobs-sweet-and-sour-chicken,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5ae09496352f536ee5a43968/1567423481119/Z49A9766-4.JPG,"Rice Vinegar - £1.39
Sugar - £0.40
80g of Pineapple - £0.60
Sweet Chilli Sauce - £0.90
Tomato Ketchup - £0.41
1 Brown Onion - £0.16
3 Peppers - £0.95
3 Eggs - £0.89
Cornflour - £0.60
8 Skinless, Boneless Chicken Thighs - £3.00
Total Cost – £9.90 - This covers absolutely everything. All we assume you have in your kitchen beforehand is SALT, PEPPER AND OLIVE OIL.",Feeds: 4 People,Cooking Time (includes preparation time): 45 Minutes
245,SUPER SIMPLE ASIAN CHICKEN NOODLE SALAD,SPEEDY MOB,http://www.mobkitchen.co.uk/recipes/super-simple-asian-chicken-noodle-salad,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5ade0cdcf950b7e29c1d2f5d/1567423494406/Z49A9399.jpg,"400g of Chicken Breast - £3.30
2 Carrots - £0.12
1 Cucumber - £0.50
Soy Sauce - £0.83
Sesame Oil - £1.10
1 Bunch of Fresh Coriander - £0.70
Knob of Ginger - £0.35
2 Romaine Lettuce Hearts - £1.00
1 Lime - £0.35
1 Bunch of Fresh Mint - £0.70
300g Vermicelli Rice Noodles - £1.00
Total Cost – £9.95 - This covers absolutely everything. All we assume you have in your kitchen beforehand is SALT, PEPPER AND OLIVE OIL.",Feeds: 4 People,Cooking Time (includes preparation time): 30 Minutes
246,CHIMICHURRI STEAK & MANCHEGO SUPER SUB,DINNER PARTY MOB,http://www.mobkitchen.co.uk/recipes/chimichurri-steak-manchego-super-sub,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5ad8b913758d46111db1711b/1567423504313/Z49A9450.jpg,"120g of Manchego - £1.85
2 Steaks (skirt, flat iron, charcoal) - £3.17
4 Sub Rolls - £1.40
Red Wine Vinegar - £0.80
1 Bunch of Coriander - £0.70
1 Bunch of Parsley - £0.70
2 Shallots - £1.00
Garlic - £0.30
Total Cost - £9.92 - This covers absolutely everything. All we assume you have in your kitchen beforehand is SALT, PEPPER AND OLIVE OIL.",Feeds: 4 People,Cooking Time (includes preparation time): 35 Minutes
247,ARTICHOKE & FENNEL TAGLIATELLE,VEGGIE MOB,http://www.mobkitchen.co.uk/recipes/artichoke-fennel-tagliatelle,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5ad60ed6758d46b5ad5de343/1567423515887/IMG_2667.JPG,"1 Fennel - £1.20
285g of Artichoke Hearts -£1.75
1 Lemon - £0.35
500g of Tagliatelle - £0.56
1 Courgette - £0.40
Mascarpone - £1.30
Garlic - £0.30
Total Cost - £6.16 - This covers absolutely everything. All we assume you have in your kitchen beforehand is SALT, PEPPER AND OLIVE OIL.",Feeds: 4 People,Cooking Time (includes preparation time): 35 Minutes
248,MOB'S ULTIMATE TOMATO PASTA,DINNER PARTY MOB,http://www.mobkitchen.co.uk/recipes/mobs-ultimate-tomato-pasta,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5acf6a8e0e2e7224ab2c1e21/1567423525047/Z49A7084.jpg,"1 Bunch of Basil - £0.70
Tin of Cherry Tomatoes - £1.00
Mascarpone - £1.20
500g of Conchiglie (or any shell pasta) - £0.60
1 Bunch of Thyme - £0.70
1 Bunch of Rosemary - £0.70
200g of Breadcrumbs - £0.67
Balsamic Glaze - £1.00
Bag of Cherry Tomatoes - £0.60
Garlic - £0.30
Chilli Flakes - £0.85
Total Cost - £9.92 - This covers absolutely everything. All we assume you have in your kitchen beforehand is SALT, PEPPER AND OLIVE OIL.",Feeds: 4 People,Cooking Time (includes preparation time): 35 Minutes
249,TERIYAKI CHICKEN & STICKY WASABI RICE,FAKEAWAY MOB,http://www.mobkitchen.co.uk/recipes/teriyaki-chicken-sticky-wasabi-rice,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5accda178a922dc7731e31ec/1567423534255/IMG_2340.JPG,"8 Chicken Thighs - £3.00
Soy Sauce - £0.76
Mirin - £1.70
Knob of Ginger - £0.35
White Sugar - £0.69
500g of Sushi Rice - £1.60
Wasabi Paste - £1.60
Total Cost - £9.80 - This covers absolutely everything. All we assume you have in your kitchen beforehand is SALT, PEPPER AND OLIVE OIL.",Feeds: 4 People,Cooking Time (includes preparation time): 25 Minutes
250,CRUNCHY CAULIFLOWER BANG BANG BOWLS,VEGGIE MOB,http://www.mobkitchen.co.uk/recipes/crunchy-cauliflower-bang-bang-bowls,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5ac798938a922d6fb237aac0/1567423545290/Z49A7048.jpg,"Sriracha - £1.89
Mayonnaise - £0.40
Avocado - £0.85
400g of Basmati Rice - £1.00
240g of Radishes - £0.65
Whole Cucumber - £0.50
Plain Flour - £0.45
2 Eggs - £0.89
Breadcrumbs - £0.80
1 Cauliflower - £1.00
2 Courgettes - £0.89
1 Lime - £0.35
A Handful of Coriander - £0.70
Total Cost - £10.00 - This covers absolutely everything. All we assume you have in your kitchen beforehand is SALT, PEPPER AND OLIVE OIL.",Feeds: 4 People,Cooking Time (includes preparation time): 50 Minutes
251,LEMONGRASS & COCONUT CHICKEN,SPEEDY MOB,http://www.mobkitchen.co.uk/recipes/lemongrass-coconut-chicken,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5ac4c625f950b72a524e76f4/1567423558900/Z49A8283-2.JPG,"4 Chicken Breasts - £4.50
Lemongrass Puree - £1.10
Knob of Ginger - £0.35
Red Chillies - £0.60
1 Lime - £0.30
1 Bunch of Coriander - £0.70
Basmati Rice - £1.00
400ml of Coconut Milk – £0.97
Garlic - £0.30
Total Cost - £9.87 - This covers absolutely everything. All we assume you have in your kitchen beforehand is SALT, PEPPER AND OLIVE OIL.",Feeds: 4 People,Cooking Time (includes preparation time): 40 Minutes
252,CREAMY BUTTERNUT SQUASH TAGLIATELLE,VEGGIE MOB,http://www.mobkitchen.co.uk/recipes/creamy-vegan-butternut-squash-tagliatelle,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5abf8f9d8a922d9f4629a725/1567423571778/Z49A8338-2.jpg,"770g of Butternut Squash - £3.18
1 Sweet Potato - £0.35
2 Garlic Cloves - £0.30
8 Waitrose Good Health Shallots - £1.35
1 Vegetable Stock Cube - £0.49
500g of Waitrose Good Health Wholewheat Tagliatelle - £1.70
7 Sage Leaves - £0.70
Total Cost – £8.07 - This covers absolutely everything. All we assume you have in your kitchen beforehand is SALT, PEPPER AND OLIVE OIL.",Feeds: 4 People,Cooking Time (includes preparation time): 1 Hour
253,VEGAN MEXICAN BEAN BURGERS,VEGAN MOB,http://www.mobkitchen.co.uk/recipes/vegan-mexican-bean-burgers,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5abe3f32758d46a7b627a9e6/1567423581771/Z49A8033.jpg,"Paprika - £0.85
Cumin - £0.85
1 Red Onion - £0.21
2 Avocados - £1.89
4 Baps - £0.65
2 x 120g Pots of Coconut Collaborative Yogurt - £2.50
1 Bunch of Spring Onions - £0.55
Breadcrumbs - £0.80
800g of Kidney Beans - £0.60
1 Lime - £0.30
1 Bunch of Coriander - £0.70
Total Cost – £9.95 - This covers absolutely everything. All we assume you have in your kitchen beforehand is SALT, PEPPER AND OLIVE OIL.",Feeds: 4 People,Cooking Time (includes preparation time): 30 Minutes
254,VEGAN CHOCOLATE CHILLI,VEGAN MOB,http://www.mobkitchen.co.uk/recipes/vegan-chocolate-chilli,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5abbb3e58a922dcb2e7090eb/1567423592257/Chilli+Image.jpg,"2 Garlic Cloves - £0.30
1 Red Onion - £0.21
2 Peppers (Not Green) - £1.10
Cumin - £0.85
Paprika - £0.85
250g of Chestnut Mushrooms - £1.00
2 x 400g Tins of Chopped Tomatoes - £0.60
250g of Tofu - £2.00
Block of Vegan Dark Chocolate - £1.00
1 Bunch of Coriander - £0.70
1 Lemon - £0.30
Rice - £0.45
Kidney Beans - £0.30
Total Cost – £9.66 - This covers absolutely everything. All we assume you have in your kitchen beforehand is SALT, PEPPER AND OLIVE OIL.",Feeds: 4 People,Cooking Time (includes preparation time): 50 Minutes
255,MUSHROOM PHO MO,VEGGIE MOB,http://www.mobkitchen.co.uk/recipes/vegan-pho-mo,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5ab92d032b6a28bbf5c48dd0/1567423601614/Z49A8014.jpg,"1 Lime - £0.35
1 Red Chilli - £0.60
Big Knob of Ginger £0.20
1 Bunch of Coriander - £0.70
1 Bunch of Mint - £0.60
1 Whole Star Anise - £0.85
Fish Sauce - £1.85
300g of Rice Noodles - £1.50
2 Carrots - £0.21
Good Quality Veggie Stock Cubes - £1.00
Coriander Seeds - £0.85
250g of Chestnut Mushrooms - £1.00
Total Cost – £9.50 - This covers absolutely everything. All we assume you have in your kitchen beforehand is SALT, PEPPER AND OLIVE OIL.",Feeds: 4 People,Cooking Time (includes preparation time): 25 Minutes
256,MOB'S CHICKEN KATSU BURGER,DINNER PARTY MOB,http://www.mobkitchen.co.uk/recipes/mobs-chicken-katsu-burger,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5ab513fdf950b7039c751395/1567423612214/Z49A7906.jpg,"4 Brioche Baps - £0.80
1 Bunch of Coriander - £0.70
2 Eggs - £0.19
Breadcrumbs - £0.65
Plain Flour - £0.45
Sesame Oil - £1.00
1 Lime - £0.35
½ White Cabbage - £0.52
1 Pack of Radishes - £0.65
Runny Honey - £0.70
Curry Powder - £0.85
Garam Masala - £0.85
Mayonnaise - £0.40
1 Vegetable Stock Cube - £0.20
4 Skinless, Boneless Chicken Thighs - £1.49
Total Cost – £9.80 - This covers absolutely everything. All we assume you have in your kitchen beforehand is SALT, PEPPER AND OLIVE OIL.",Feeds: 4 People,Cooking Time (includes preparation time): 30 Minutes
257,CHICKEN GYROS PITA POCKETS,COMFORT MOB,http://www.mobkitchen.co.uk/recipes/chicken-gyros-pita-pockets,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5ab3f8e10e2e72d006a4ca97/1567423625385/Z49A7937.jpg,"1 Pack of Cherry Tomatoes - £0.53
4 Pack of Warburtons’ Toastie Pockets - £1.15
120g of Feta - £1.20
Garlic - £0.30
1 Red Chilli - £0.60
1 Lemon - £0.35
Dried Oregano - £0.70
150g of Plain Yogurt - £0.40
6 Boneless, Skinless Chicken Thighs - £3.00
Total Cost – £8.23 - This covers absolutely everything. All we assume you have in your kitchen beforehand is SALT, PEPPER AND OLIVE OIL.",Feeds: 4 People,Cooking Time (includes preparation time): 30 Minutes
258,PULLED PORK TOASTIE POCKETS,COMFORT MOB,http://www.mobkitchen.co.uk/recipes/pulled-pork-toastie-pockets,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5ab146c1562fa7fcbccd3476/1567423639956/Z49A7956.JPG,"450g of Pork Belly - £2.70
Cider Vinegar - £0.50
Tomato Puree - £0.35
Garlic - £0.30
Red Onion - £0.21
5 Gherkins - £0.30
Emmental - £2.00
Paprika - £0.85
Vegetable Stock - £0.50
Brown Sugar - £0.71
4 Pack of Warburton’s Toastie Pockets - £1.15
Total Cost – £9.52 - This covers absolutely everything. All we assume you have in your kitchen beforehand is SALT, PEPPER AND OLIVE OIL.",Feeds: 4 People,Cooking Time (includes preparation time): 4 Hour
259,BUTTERNUT SQUASH PANCAKES,BRUNCH MOB,http://www.mobkitchen.co.uk/recipes/butternut-squash-pancakes,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5aafce512b6a28e4792ab048/1567423651548/Pancakes+Image.JPG,"400g of Butternut Squash Slices - £1.00
250g of Self Raising Flour - £0.45
2 Eggs - £0.89
1 Bunch of Rosemary - £0.70
80g of Parmesan - £1.80
8 Rashers of Bacon - £2.00
Clear Honey - £0.99
350ml of Whole Milk - £0.60
Total Cost – £8.43 - This covers absolutely everything. All we assume you have in your kitchen beforehand is SALT, PEPPER AND OLIVE OIL.",Feeds: 4 People,Cooking Time (includes preparation time): 40 Minutes
260,VEGAN WHOPPER SUSHI CAKE,VEGAN MOB,http://www.mobkitchen.co.uk/recipes/vegan-whopper-sushi-cake,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5aabef9803ce649182a9dc9d/1567423665327/Sushi+Image.JPG,"500g of Sushi Rice - £1.00
2 Peppers (Not Green) - £1.10
Soy Sauce - £0.60
Knob of Ginger - £0.12
1 Lime - £0.32
280g Block of Tofu - £1.50
Breadcrumbs - £0.80
Plain Flour - £0.55
Chickpeas - £0.40
1 Bunch of Coriander - £0.70
1 Bunch of Spring Onions - £0.45
2 Avocados - £1.30
Nori Seaweed - £1.00
Total Cost – £9.98 - This covers absolutely everything. All we assume you have in your kitchen beforehand is SALT, PEPPER AND OLIVE OIL.",Feeds: 4 People,Cooking Time (includes preparation time): 40 Minutes
261,THE ULTIMATE SPAG BOLLY,DINNER PARTY MOB,http://www.mobkitchen.co.uk/recipes/the-ultimate-spag-bolly,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5aa946af53450ad3ccc5d093/1567423675316/Bolly+Photo.jpg,"3 Bay Leaves
400ml of Milk
750g of Beef Mince
2 x 400g Tinned Tomatoes
2 Garlic Cloves
3 Sticks of Celery
2 Carrots
2 Onions
450g of Spaghetti
187ml of Red Wine
300g of Smoked Bacon
Total Cost – £10.00 - This covers absolutely everything. All we assume you have in your kitchen beforehand is SALT, PEPPER AND OLIVE OIL.",Feeds: 4 People,Cooking Time (includes preparation time): 2 Hours
262,FRENCH ONION SOUP,COMFORT MOB,http://www.mobkitchen.co.uk/recipes/french-onion-soup,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5aa7d731f9619a457035f35c/1567423685301/Z49A7012-2.jpg,"10 Pickled Onions - £0.30
150g of Gruyere - £1.50
French Baguette - £0.45
187ml of Chardonnay - £1.35
Bay Leaves - £0.70
1 Bunch of Thyme - £0.70
2 Beef Stock Cubes - £1.00
Butter - £1.60
Plain Flour - £0.55
7 Onions - £1.10
Total Cost - £9.25 - This covers absolutely everything. All we assume you have in your kitchen beforehand is SALT, PEPPER AND OLIVE OIL.",Feeds: 4 People,Cooking Time (includes preparation time): 50 Minutes
263,CHOP CHOP BEER CAN CHICKEN,DINNER PARTY MOB,http://www.mobkitchen.co.uk/recipes/beer-can-chicken,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5aa6a2c2419202aac6b252e7/1567423698730/Z49A7590-2.jpg,"4 Potatoes - £1.20
1 Bunch of Rosemary - £0.70
Cayenne Pepper - £0.85
Cumin - £0.85
Garlic - £0.30
Oregano - £0.85
1 x 1.6kg Chicken - £4.50
440ml Can of Beer - £0.90
Total Cost - £10 - This covers absolutely everything. All we assume you have in your kitchen beforehand is SALT, PEPPER AND OLIVE OIL.",Feeds: 4 People,Cooking Time (includes preparation time): 1 Hour 15 Minutes
264,HALLOUMI CROUTON SUPER SALAD,VEGGIE MOB,http://www.mobkitchen.co.uk/recipes/halloumi-crouton-super-salad,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5aa540de652dea7e55516eef/1567423708284/Z49A7876-3.JPG,"1 Lemon - £0.35
Garlic - £0.30
1 Bunch of Basil - £0.70
250g of Cherry Tomatoes - £0.40
2 Peppers - £0.90
Breadcrumbs - £0.80
225g of Halloumi - £1.50
2 Eggs - £0.20
Plain Flour - £0.55
Bag of Rocket - £1.00
3 Courgettes - £1.00
50g of Parmesan - £1.00
50g of Pine Nuts - £1.25
Total Cost – £9.95 - This covers absolutely everything. All we assume you have in your kitchen beforehand is SALT, PEPPER AND OLIVE OIL.",Feeds: 4 People,Cooking Time (includes preparation time): 1 Hour Hours
265,"CHICKEN, MUSHROOM & CHEDDAR MONSTER PIE",COMFORT MOB,http://www.mobkitchen.co.uk/recipes/chicken-mushroom-cheddar-monster-pie,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5aa2afd9c830253c38f2368f/1567423717553/Pie+Image.jpg,"3 Eggs - £0.86
1 Bunch of Chives - £0.70
Pint of Milk - £0.50
1 Brown Onion - £0.16
80g of Lard - £0.39
80g of Butter - £1.00
Plain Flour - £0.55
320g of Wyke Farms Mature Cheddar - £2.50
300g of Button Mushrooms - £0.79
600g of Skinless, Boneless Chicken Thighs - £2.50
Total Cost – £9.95 - This covers absolutely everything. All we assume you have in your kitchen beforehand is SALT, PEPPER AND OLIVE OIL.",Feeds: 4 People,Cooking Time (includes preparation time): 1 Hour 10 Minutes
266,SPICED VEGGIE & HALLOUMI FAJITAS,VEGGIE MOB,http://www.mobkitchen.co.uk/recipes/spiced-veggie-halloumi-fajitas,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5a9ff12cec212da646444b64/1567423729411/IMG_0922.JPG,"1 Aubergine
2 Sweet Potatoes
2 Peppers
Cumin
Cayenne Pepper
2 Avocados
1 Bunch of Coriander
2 Spring Onions
1 Lime
2 Blocks of Halloumi
8 Tortilla Wraps
Total Cost - £9.45 - This covers absolutely everything. All we assume you have in your kitchen beforehand is SALT, PEPPER AND OLIVE OIL.",Feeds: 4 People,Cooking Time (includes preparation time): 1 Hour
267,HOMEMADE SWEET POTATO GNOCCHI,COMFORT MOB,http://www.mobkitchen.co.uk/recipes/homemade-sweet-potato-gnocchi,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5a9d58e7e2c48369e076d20e/1567423741234/IMG_0815.JPG,"2 Sweet Potatoes
250g of Plain Flour
Large knob of Unsalted Butter
1 Bunch of Rosemary
200g of Ricotta Cheese
80g of Parmesan
1 Garlic Clove
100g of Spinach
Total Cost - £8.90 - This covers absolutely everything. All we assume you have in your kitchen beforehand is SALT, PEPPER AND OLIVE OIL.",Feeds: 4 People,Cooking Time (includes preparation time): 35 Minutes
268,BRAISED CHINESE AUBERGINE & PORK,COMFORT MOB,http://www.mobkitchen.co.uk/recipes/braised-chinese-aubergine-pork,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5a9c38610d9297b125769b4e/1567423751566/Z49A7064-2.jpg,"400g of Basmati Rice - £0.60
1 Chicken Stock Cube - £0.50
Chilli Flakes - £0.85
Rice Wine Vinegar - £1.49
500g of Pork Mince - £1.49
5 Tablespoons of Oyster Sauce - £1.29
Knob of Ginger - £0.17
Garlic - £0.30
1 Onion - £0.11
2 Aubergines - £1.00
Sesame Oil - £0.80
Soy Sauce - £0.65
Cornflour - £0.50
Total Cost - £9.75 - This covers absolutely everything. All we assume you have in your kitchen beforehand is SALT, PEPPER AND OLIVE OIL.",Feeds: 4 People,Cooking Time (includes preparation time): 50 Minutes
269,STICKY SESAME POPCORN CHICKEN,DINNER PARTY MOB,http://www.mobkitchen.co.uk/recipes/sticky-sesame-popcorn-chicken,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5a9812a0652dea1afc91b7db/1567423764295/Popcorn+Chicken+Image.jpg,"Sweet Chilli Sauce - £1.00
Soy Sauce - £0.65
Ketchup - £0.50
Garlic - £0.30
Knob of Ginger - £0.27
Cornflour - £0.75
2 Eggs - £0.65
Basmati Rice - £0.60
750g of Skinless, Boneless Chicken Thighs - £1.49
Rice Wine Vinegar - £1.49
Sesame Oil - £0.80
1 Bunch of Spring Onions - £0.55
Sesame Seeds - £0.85
Total Cost - £9.90 - This covers absolutely everything. All we assume you have in your kitchen beforehand is SALT, PEPPER AND OLIVE OIL.",Feeds: 4 People,Cooking Time (includes preparation time): 40 Minutes
270,FULL ENGLISH SHAKSHUKA,BRUNCH MOB,http://www.mobkitchen.co.uk/recipes/full-english-shakshuka,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5a96774953450a754a63796e/1567423775371/Shakshuka+Image+2-2.jpg,"6 Pork Sausages
200g of Chestnut Mushrooms (Finely Sliced)
10 Rashers of Smoked Bacon
Fresh Rosemary
2 Garlic Cloves
200g of Spinach
2 x 400g Tins of Tomatoes
8 Eggs
A Loaf of Sourdough
Total Cost – £9.90 - This covers absolutely everything. All we assume you have in your kitchen beforehand is SALT, PEPPER AND OLIVE OIL.",Feeds: 4 People,Cooking Time (includes preparation time): 40 minutes
271,SUPER EASY BAKED FETA MUSHROOMS,VEGGIE MOB,http://www.mobkitchen.co.uk/recipes/super-easy-baked-feta-mushrooms,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5a901f4808522995fe0ad6ce/1567423787065/Z49A3610.jpg,"300g of Quinoa - £2.35
Vegetable Stock Cube - £0.50
1 Bunch of Parsley - £0.70
1 Lemon - £0.35
Dried Oregano - £0.70
200g of Feta - £1.35
8 Portobello Mushrooms - £2.00
Total Cost – £7.95 - This covers absolutely everything. All we assume you have in your kitchen beforehand is SALT, PEPPER AND OLIVE OIL.",Feeds: 4 People,Cooking Time (includes preparation time): 35 minutes
272,PEA & CHORIZO RISOTTO,DINNER PARTY MOB,http://www.mobkitchen.co.uk/recipes/pea-chorizo-risotto,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5a8d819653450a39affc16aa/1567423799401/Z49A3231-2.jpg,"250g of Chorizo
100g of Petit Pois
2 Garlic Cloves
1 Brown Onion
450g of Risotto Rice
100g of Parmesan
1 Tablespoon Salted Butter
187ml of White Wine
1 Chicken Stock Cube
1 Bunch of Parsley
Total Cost – £8.50 - This covers absolutely everything. All we assume you have in your kitchen beforehand is SALT, PEPPER AND OLIVE OIL.",Feeds: 4 People,Cooking Time (includes preparation time): 40 minutes
273,SWEET POTATO GNOCCHERONI CHEESE,COMFORT MOB,http://www.mobkitchen.co.uk/recipes/sweet-potato-gnoccheroni-cheese,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5a8b0ca808522933c240d993/1567423812907/Z49A3587-2.jpg,"2 Sweet Potatoes - £0.70
Plain Flour - £0.45
1 Pint Whole Milk - £0.50
Fresh Rosemary - £0.70
250g of Grated Cheddar - £2.50
100g of Parmesan - £2.00
125 of Goat’s Cheese - £1.60
500g of Gnocchi - £0.75
Total Cost – £9.20 - This covers absolutely everything. All we assume you have in your kitchen beforehand is salt, pepper and olive oil.",Feeds: 4 People,Cooking Time (includes preparation time): 50 Minutes
274,VALENTINE'S SPECIAL - SALMON EN CROÛTE,COMFORT MOB,http://www.mobkitchen.co.uk/recipes/salmon-en-crote,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5a8458e4ec212da32858b0a2/1567423825684/Z49A3517.jpg,"2 x Salmon Fillets
1 Bunch of Fresh Dill
1 Bunch of Fresh Parsley
Horseradish
Sour Cream
Puff Pastry
1 Egg
200g of Spinach
Garlic
Total Cost – £9.90 - This covers absolutely everything. All we assume you have in your kitchen beforehand is SALT, PEPPER AND OLIVE OIL.",Feeds: 4 People,Cooking Time (includes preparation time): 1 hour 20 Minutes
275,THE FRESHEST THAI RED PRAWN CURRY,DINNER PARTY MOB,http://www.mobkitchen.co.uk/recipes/the-freshest-thai-red-prawn-curry,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5a7c641008522985c29f4d08/1567423835390/Z49A2932.jpg,"200g of Frozen Prawns - £3.50
1 Brown Onion - £0.16
Coriander Seeds - £0.85
1 Bunch of Coriander - £0.70
Knob of Ginger - £0.26
Garlic - £0.30
3 Vine Tomatoes - £0.33
1 Lime - £0.35
400ml of Coconut Milk - £0.80
400g of Basmati Rice - £0.60
Lemongrass Puree - £0.90
Red Chillies - £0.60
200g of Frozen Peas - £0.60
Total Cost – £9.95 - This covers absolutely everything. All we assume you have in your kitchen beforehand is SALT, PEPPER AND OLIVE OIL.",Feeds: 4 People,Cooking Time (includes preparation time): 30 Minutes
276,THE CHICKEN BALTI PIE,DINNER PARTY MOB,http://www.mobkitchen.co.uk/recipes/the-chicken-balti-pie,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5a79c243f9619ae7e80a8268/1567423847222/Z49A2982.jpg,"Cinnamon - £0.85
300g of Yogurt - £0.85
500g of Passata - £0.35
Garlic - £0.30
Knob of Ginger - £0.27
1 Brown Onion - £0.16
Mango Chutney - £1.00
Garam Masala - £0.85
Curry Powder - £1.00
700g of Chicken Thigh Meat - £2.00
2 x 375g Puff Pastry Sheets - £2.20
1 Egg - £0.07
Total Cost – £9.90 - This covers absolutely everything. All we assume you have in your kitchen beforehand is SALT, PEPPER AND OLIVE OIL.",Feeds: 4 People,Cooking Time (includes preparation time): 1 Hour 20 Minutes
277,DOUBLE BACON CHIPOTLE BAGEL BURGERS,DINNER PARTY MOB,http://www.mobkitchen.co.uk/recipes/double-bacon-chipotle-bagel-burgers,https://static1.squarespace.com/static/57ded33ce6f2e1bd883c497d/598b0c80be42d699de0b3449/5a74984753450a20f3933bf5/1567423862962/Z49A2908.jpg,"Chipotle Chilli Paste - £0.75
250g of Cream Cheese - £0.49
2 Avocados £1.40
4 Bagels - £0.95
750g of Beef Mince - £3.26
300g of Smoked Streaky Bacon - £2.00
Chives - £0.70
1 Lemon - £0.30
Total Cost – £9.85 - This covers absolutely everything. All we assume you have in your kitchen beforehand is SALT, PEPPER AND OLIVE OIL.",Feeds: 4 People,Cooking Time (includes preparation time): 35 Minutes
